lp,title,link,localization,price,rooms_number,area,floor
1,"Stylowe 3 pokoje z tarasem, garażem i komórką.",https://www.otodom.pl/pl/oferta/stylowe-3-pokoje-z-tarasem-garazem-i-komorka-ID4sh2y,"ul. Władysława Hermana, Gołąbki, Ursus, Warszawa, mazowieckie",899 000 zł,3 pokoje,53.4 m²,parter
2,Piękne mieszkanie okolice Blue City,https://www.otodom.pl/pl/oferta/piekne-mieszkanie-okolice-blue-city-ID4tqOJ,"ul. Czereśniowa, Stare Włochy, Włochy, Warszawa, mazowieckie",955 000 zł,3 pokoje,54 m²,1 piętro
3,3-pokoje Rossiniego/cena z garażem /Zielona Dolina,https://www.otodom.pl/pl/oferta/3-pokoje-rossiniego-cena-z-garazem-zielona-dolina-ID4rmLz,"ul. Gioacchino Rossiniego, Kobiałka, Białołęka, Warszawa, mazowieckie",775 000 zł,3 pokoje,56 m²,2 piętro
4,Kompaktowe Mieszkanko Do Remontu,https://www.otodom.pl/pl/oferta/kompaktowe-mieszkanko-do-remontu-ID4tSOK,"ul. Nowolipki, Nowolipki, Wola, Warszawa, mazowieckie",695 000 zł,2 pokoje,40 m²,2 piętro
5,Do sprzedania 3 pokoje na Ursynowie metro Kabaty,https://www.otodom.pl/pl/oferta/do-sprzedania-3-pokoje-na-ursynowie-metro-kabaty-ID4rDfS,"al. Aleja Komisji Edukacji Narodowej, Kabaty, Ursynów, Warszawa, mazowieckie",1 278 000 zł,3 pokoje,80.01 m²,1 piętro
6,✅Zobacz>>Ustawne 4 pokoje przy metrze Bródno,https://www.otodom.pl/pl/oferta/zobaczustawne-4-pokoje-przy-metrze-brodno-ID4tWbc,"ul. Łabiszyńska, Bródno, Targówek, Warszawa, mazowieckie",685 000 zł,4 pokoje,47 m²,2 piętro
7,✅Sprawdź>>> ustawne 3 pokojowe mieszkanie,https://www.otodom.pl/pl/oferta/sprawdz-ustawne-3-pokojowe-mieszkanie-ID4u09l,"ul. Mikołaja Trąby, Nowodwory, Białołęka, Warszawa, mazowieckie",694 000 zł,3 pokoje,61 m²,3 piętro
8,QBIK dwupoziomowy apartament z widokiem na zieleń,https://www.otodom.pl/pl/oferta/qbik-dwupoziomowy-apartament-z-widokiem-na-zielen-ID4u2E9,"ul. Jana Pawła Woronicza, Służewiec, Mokotów, Warszawa, mazowieckie",1 900 000 zł,3 pokoje,84 m²,6 piętro
9,"2 pokoje, po remoncie, metro, Ursynów, BEZPOŚREDNI",https://www.otodom.pl/pl/oferta/2-pokoje-po-remoncie-metro-ursynow-bezposredni-ID4twms,"Pyry, Ursynów, Warszawa, mazowieckie",779 000 zł,2 pokoje,41.2 m²,2 piętro
10,Apartament | Umeblowany | Klimatyzacja,https://www.otodom.pl/pl/oferta/apartament-umeblowany-klimatyzacja-ID4u1cB,"ul. Sławińska, Czyste, Wola, Warszawa, mazowieckie",800 000 zł,2 pokoje,38.57 m²,7 piętro
11,3-pokojowe mieszkanie 59m2 + ogródek,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-59m2-ogrodek-ID4rl6I,"ul. Ostródzka, Brzeziny, Białołęka, Warszawa, mazowieckie",Zapytaj o cenę,3 pokoje,59.99 m²,parter
12,4-pokojowe mieszkanie 68m2 + 2 balkony,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-68m2-2-balkony-ID4nzAm,"ul.Ostródzka, Brzeziny, Białołęka, Warszawa, mazowieckie",Zapytaj o cenę,4 pokoje,68.72 m²,2 piętro
13,2-pokojowe mieszkanie 32m2 + loggia,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-32m2-loggia-ID4rzVx,"ul. Aleksandra Kotsisa, Pelcowizna, Praga-Północ, Warszawa, mazowieckie",Zapytaj o cenę,2 pokoje,32.77 m²,8 piętro
14,Dwupokojowe mieszkanie na sprzedaż-BEZ POŚREDNIKÓW,https://www.otodom.pl/pl/oferta/dwupokojowe-mieszkanie-na-sprzedaz-bez-posrednikow-ID4u2DV,"ul. Mariana Nowickiego, Rakowiec, Ochota, Warszawa, mazowieckie",759 000 zł,2 pokoje,35.5 m²,4 piętro
15,3 oddzielne pokoje na Gocławiu,https://www.otodom.pl/pl/oferta/3-oddzielne-pokoje-na-goclawiu-ID4twmi,"ul. Floriana Znanieckiego, Gocław, Praga-Południe, Warszawa, mazowieckie",890 000 zł,3 pokoje,64.8 m²,2 piętro
16,Mieszkanie 63 m2 3 pokoje Garaż Komórka,https://www.otodom.pl/pl/oferta/mieszkanie-63-m2-3-pokoje-garaz-komorka-ID4slcT,"ul. Kłobucka, Wyczółki, Ursynów, Warszawa, mazowieckie",1 190 000 zł,3 pokoje,63.02 m²,6 piętro
